Sentence
"As a library manager, I want to delete the fines so that I can remove the fine if the member pays the fine."
"As a library manager, I want to generate reports on book genres, so that I can decide on topic to expand the collection."
"As a library manager, I want to keep books and their checkouts As a library manager, I want to keep track of asset collections As a library manager, I want to keep track of interactions with their patrons As a library manager, I want to keeping track of subscriber profiles and subscriptions As a library manager, I want to know members' library score, so that I can set a threshold to decide whether to lend another book or not."
"As a library manager, I want to know statistical information on popularity, so that I can configure library arrangement optimally."
"As a library manager, I want to know the due dates so that I can announce the fines to the members when they delay to return."
"As a library manager, I want to know the reserved books so that I can remind the member who currently has the book to bring the book when due date is over."
"As a library manager, I want to know the unique identification number so that I can say to the member whether the book is currently available or not."
"As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books."
"As a library manager, I want to see condition of each book, so that I can replace an old book with a newer one."
"As a library manager, I want to see due date of each book so that I can track them."
"As a library manager, I want to see the books by authors, so that I can check if there are any missing books by that author."
"As a library manager, I want to track the checkouts of the members so that I can block them to checkout too many books."
"As a library manager, I want to track the due dates so that I can remind the members to return the books that they borrow."
"As a library manager, I want to track the fines so that I can warn the authorities."
"As a library manager, I want to track the reserved books so that I will not give these books to other members."
"As a library manager, I want to update a book record so that I can update the status of the book."
"As a library manager, I want to update the shelf number of the book so that members can track the location of the book."
"As a library member, I want to apply for time extension."
"As a library member, I want to be able to access to the platform at any time so that I can perform preservation."
" As a library member, I want to change the due date of the book that borrowed by myself so that I can delay the due date."
"As a library member, I want to check availability of books, so that I can borrow them."
"As a library member, I want to click into a book, so that I can get more information on that item."
"As a library member, I want to display books so that I can decide the book which I will take."
"As a library member, I want to display my previous checkouts so that I can keep track of the books that I borrowed."
"As a library member, I want to display my previous reservations so that I can keep track of my reservations."
"As a library member, I want to display whether the book is reserved or not so that I can place a reservation."
"As a library member, I want to edit my profile so that I can update my profile."
"As a library member, I want to extend the due date of the book."
"As a library member, I want to filter books according to their category."
"As a library member, I want to get email when there is a new book so that I can borrow it."
"As a library member, I want to get notification about due dates so that I can remember the due date."
"As a library member, I want to have gamification among top members, so that I keep myself motivated to read."
"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go."
"As a library member, I want to learn availability of books, so that I can reserve it."
"As a library member, I want to learn due date of an unavailable book, so that I can decide to wait or buy it from the book store As a library member, I want to learn unique identification number so that I can find book by it."
"As a library member, I want to list all books of an author so that I can choose between them."
"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process."
"As a library member, I want to look up books listed by author so that I can find the book i am looking for easier."
"As a library member, I want to look up books listed by place reservation so that I can find the book i am looking for easier."
"As a library member, I want to look up books listed by publication date so that I can find the book i am looking for easier."
"As a library member, I want to look up books listed by subject category so that I can find the book i am looking for easier."
"As a library member, I want to look up books listed by title so that I can find the book i am looking for easier."
"As a library member, I want to make reservation for a book for 2 days so that I can reserve the book remotely."
"As a library member, I want to order books according to title."
"As a library member, I want to pay contactless through an app so that I can pay easily without an employee or cash."
"As a library member, I want to pay through mobile bank systems."
"As a library member, I want to perform operations under 20 seconds."
"As a library member, I want to preserve a book."
